DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_VALUATION,NOTE_ADJUSTMENT,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2021M12,2019,1609654.9,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2021M12,2020,1493117.2,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2013,1451514.2,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2014,1462744.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2015,1488049,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2016,1522753.8,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2017,1557795.7,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2018,1589576.2,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2019,1611368.5,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2020,1502118.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2022M12,2021,1597537.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__V_N3,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2013,1451514.2,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2014,1462744.6,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2015,1488049,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2016,1522753.8,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2017,1557795.7,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2018,1589576.2,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2019,1611368.5,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2020,1502860.8,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2021,1637287.5,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,V,N,2023M12,2022,1750705.1,,,,,,,,,,
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M1,2017,1551374,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M1,2018,1571997.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2013,1435235.9,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2014,1452292,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2015,1475477.5,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2017,1547172,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2018,1572654.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M12,2019,1593427,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2013,1435235.9,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2014,1452292,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2015,1475477.5,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2017,1547172,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2020M5,2018,1571638.8,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2013,1435235.9,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2014,1452292,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2015,1475477.5,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2017,1547172,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2018,1572338.7,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2019,1596100.8,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2021M12,2020,1469626.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2022M12,2013,1435235.9,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2022M12,2014,1452292,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2022M12,2015,1475477.5,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2022M12,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,Y,N,2022M12,2017,1547172,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__Y_N1,,,,EURO,6
